Time[y],reactor_In[t],Reactor_Out[t],Inv[t],92234[t],92235[t],92236[t],92238[t],94238[t],94239[t],94240[t],94241[t],94242[t],95241[t],95242[t],95243[t],96242[t],96243[t],96244[t],96245[t],93237[t],
7.75,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
7.83333,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
7.91667,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
8,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
8.08333,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
8.16667,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
8.25,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
8.33333,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
8.41667,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
8.5,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
8.58333,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
8.66667,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
8.75,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
8.83333,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
8.91667,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
9,328,246,246,0.000666705,1.33297,1.05604,229.775,0.0590106,1.40227,0.641144,0.414725,0.215738,0.0103989,0.00021081,0.0496484,0.00544311,0.000141927,0.0203382,0.00130168,0.134602,
9.08333,328,246,246,0.000666705,1.33297,1.05604,229.775,0.0590106,1.40227,0.641144,0.414725,0.215738,0.0103989,0.00021081,0.0496484,0.00544311,0.000141927,0.0203382,0.00130168,0.134602,
9.16667,328,246,246,0.000666705,1.33297,1.05604,229.775,0.0590106,1.40227,0.641144,0.414725,0.215738,0.0103989,0.00021081,0.0496484,0.00544311,0.000141927,0.0203382,0.00130168,0.134602,
9.25,328,246,246,0.000666705,1.33297,1.05604,229.775,0.0590106,1.40227,0.641144,0.414725,0.215738,0.0103989,0.00021081,0.0496484,0.00544311,0.000141927,0.0203382,0.00130168,0.134602,
9.33333,328,246,246,0.000666705,1.33297,1.05604,229.775,0.0590106,1.40227,0.641144,0.414725,0.215738,0.0103989,0.00021081,0.0496484,0.00544311,0.000141927,0.0203382,0.00130168,0.134602,
9.41667,328,246,246,0.000666705,1.33297,1.05604,229.775,0.0590106,1.40227,0.641144,0.414725,0.215738,0.0103989,0.00021081,0.0496484,0.00544311,0.000141927,0.0203382,0.00130168,0.134602,
9.5,328,246,246,0.000666705,1.33297,1.05604,229.775,0.0590106,1.40227,0.641144,0.414725,0.215738,0.0103989,0.00021081,0.0496484,0.00544311,0.000141927,0.0203382,0.00130168,0.134602,
9.58333,328,246,246,0.000666705,1.33297,1.05604,229.775,0.0590106,1.40227,0.641144,0.414725,0.215738,0.0103989,0.00021081,0.0496484,0.00544311,0.000141927,0.0203382,0.00130168,0.134602,
