Time[month],reactor_In[kg],Reactor_Out[kg],
649,35599.2,35435.4,
650,35653.8,35490,
651,35708.4,35544.6,
652,35763,35599.2,
653,35817.6,35653.8,
654,35872.2,35708.4,
655,35926.8,35763,
656,35981.4,35817.6,
657,36036,35872.2,
658,36090.6,35926.8,
659,36145.2,35981.4,
660,36199.8,36036,
661,36254.4,36090.6,
662,36309,36145.2,
663,36363.6,36199.8,
664,36418.2,36254.4,
665,36472.8,36309,
666,36527.4,36363.6,
667,36582,36418.2,
668,36636.6,36472.8,
669,36691.2,36527.4,
670,36745.8,36582,
671,36800.4,36636.6,
672,36855,36691.2,
673,36909.6,36745.8,
674,36964.2,36800.4,
675,37018.8,36855,
676,37073.4,36909.6,
677,37128,36964.2,
678,37182.6,37018.8,
679,37237.2,37073.4,
680,37291.8,37128,
681,37346.4,37182.6,
682,37401,37237.2,
683,37455.6,37291.8,
684,37510.2,37346.4,
685,37564.8,37401,
686,37619.4,37455.6,
687,37674,37510.2,
688,37728.6,37564.8,
689,37783.2,37619.4,
690,37837.8,37674,
691,37892.4,37728.6,
692,37947,37783.2,
693,38001.6,37837.8,
694,38056.2,37892.4,
695,38110.8,37947,
696,38165.4,38001.6,
697,38220,38056.2,
698,38274.6,38110.8,
699,38329.2,38165.4,
700,38383.8,38220,
701,38438.4,38274.6,
702,38493,38329.2,
703,38547.6,38383.8,
704,38602.2,38438.4,
705,38656.8,38493,
706,38711.4,38547.6,
707,38766,38602.2,
708,38820.6,38656.8,
709,38875.2,38711.4,
710,38929.8,38766,
711,38984.4,38820.6,
712,39039,38875.2,
713,39093.6,38929.8,
714,39148.2,38984.4,
715,39202.8,39039,
716,39257.4,39093.6,
717,39312,39148.2,
718,39366.6,39202.8,
719,39421.2,39257.4,
720,39475.8,39312,
721,39530.4,39366.6,
722,39585,39421.2,
723,39639.6,39475.8,
724,39694.2,39530.4,
725,39748.8,39585,
726,39803.4,39639.6,
727,39858,39694.2,
728,39912.6,39748.8,
729,39967.2,39803.4,
730,40021.8,39858,
731,40076.4,39912.6,
732,40131,39967.2,
733,40185.6,40021.8,
734,40240.2,40076.4,
735,40294.8,40131,
736,40349.4,40185.6,
737,40404,40240.2,
738,40458.6,40294.8,
739,40513.2,40349.4,
740,40567.8,40404,
741,40622.4,40458.6,
742,40677,40513.2,
743,40731.6,40567.8,
744,40786.2,40622.4,
745,40840.8,40677,
746,40895.4,40731.6,
747,40950,40786.2,
748,41004.6,40840.8,
749,41059.2,40895.4,
750,41113.8,40950,
751,41168.4,41004.6,
752,41223,41059.2,
753,41277.6,41113.8,
754,41332.2,41168.4,
755,41386.8,41223,
756,41441.4,41277.6,
757,41496,41332.2,
758,41550.6,41386.8,
759,41605.2,41441.4,
760,41659.8,41496,
761,41714.4,41550.6,
762,41769,41605.2,
763,41823.6,41659.8,
764,41878.2,41714.4,
765,41932.8,41769,
766,41987.4,41823.6,
767,42042,41878.2,
768,42096.6,41932.8,
769,42151.2,41987.4,
770,42205.8,42042,
771,42260.4,42096.6,
772,42315,42151.2,
773,42369.6,42205.8,
774,42424.2,42260.4,
775,42478.8,42315,
776,42533.4,42369.6,
777,42588,42424.2,
778,42642.6,42478.8,
779,42697.2,42533.4,
780,42751.8,42588,
781,42806.4,42642.6,
782,42861,42697.2,
783,42915.6,42751.8,
784,42970.2,42806.4,
785,43024.8,42861,
786,43079.4,42915.6,
787,43134,42970.2,
788,43188.6,43024.8,
789,43243.2,43079.4,
790,43297.8,43134,
791,43352.4,43188.6,
792,43407,43243.2,
793,43461.6,43297.8,
794,43516.2,43352.4,
795,43570.8,43407,
796,43625.4,43461.6,
797,43680,43516.2,
798,43734.6,43570.8,
799,43789.2,43625.4,
800,43843.8,43680,
801,43898.4,43734.6,
802,43953,43789.2,
803,44007.6,43843.8,
804,44062.2,43898.4,
805,44116.8,43953,
806,44171.4,44007.6,
807,44226,44062.2,
808,44280.6,44116.8,
809,44335.2,44171.4,
810,44389.8,44226,
811,44444.4,44280.6,
812,44499,44335.2,
813,44553.6,44389.8,
814,44608.2,44444.4,
815,44662.8,44499,
816,44717.4,44553.6,
817,44772,44608.2,
818,44826.6,44662.8,
819,44881.2,44717.4,
820,44935.8,44772,
821,44990.4,44826.6,
822,45045,44881.2,
823,45099.6,44935.8,
824,45154.2,44990.4,
825,45208.8,45045,
826,45263.4,45099.6,
827,45318,45154.2,
828,45372.6,45208.8,
829,45427.2,45263.4,
830,45481.8,45318,
831,45536.4,45372.6,
832,45591,45427.2,
833,45645.6,45481.8,
834,45700.2,45536.4,
835,45754.8,45591,
836,45809.4,45645.6,
837,45864,45700.2,
838,45918.6,45754.8,
839,45973.2,45809.4,
840,46027.8,45864,
841,46082.4,45918.6,
842,46137,45973.2,
843,46191.6,46027.8,
844,46246.2,46082.4,
845,46300.8,46137,
846,46355.4,46191.6,
847,46410,46246.2,
848,46464.6,46300.8,
849,46519.2,46355.4,
850,46573.8,46410,
851,46628.4,46464.6,
852,46683,46519.2,
853,46737.6,46573.8,
854,46792.2,46628.4,
855,46846.8,46683,
856,46901.4,46737.6,
857,46956,46792.2,
